Date : 2024-08-19 20:21:03
Directory : f:\毕设-快递系统
Total : 68 files,  18230 codes, 32 comments, 320 blanks, all 18582 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          3 |     13,971 |          0 |          2 |     13,973 |
| TypeScript JSX     |         45 |      3,831 |         29 |        236 |      4,096 |
| TypeScript         |          9 |        225 |          1 |         29 |        255 |
| CSS                |          4 |        141 |          0 |         33 |        174 |
| JSON with Comments |          2 |         29 |          0 |          2 |         31 |
| Markdown           |          1 |         23 |          0 |         14 |         37 |
| JavaScript         |          2 |          8 |          2 |          4 |         14 |
| XML                |          2 |          2 |          0 |          0 |          2 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                     | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                        |         68 |     18,230 |         32 |        320 |     18,582 |
| . (Files)                                                |          9 |     14,119 |          3 |         26 |     14,148 |
| public                                                   |          2 |          2 |          0 |          0 |          2 |
| src                                                      |         57 |      4,109 |         29 |        294 |      4,432 |
| src\app                                                  |         19 |        401 |          6 |         82 |        489 |
| src\app (Files)                                          |          4 |        119 |          1 |         32 |        152 |
| src\app\api                                              |          3 |         75 |          0 |         11 |         86 |
| src\app\dashboard                                        |          8 |        171 |          5 |         27 |        203 |
| src\app\dashboard (Files)                                |          2 |         32 |          0 |          6 |         38 |
| src\app\dashboard\control                                |          1 |         43 |          0 |          2 |         45 |
| src\app\dashboard\links                                  |          1 |          9 |          0 |          3 |         12 |
| src\app\dashboard\me                                     |          1 |         10 |          0 |          3 |         13 |
| src\app\dashboard\order                                  |          3 |         77 |          5 |         13 |         95 |
| src\app\dashboard\order (Files)                          |          2 |         37 |          0 |          5 |         42 |
| src\app\dashboard\order\[slug]                           |          1 |         40 |          5 |          8 |         53 |
| src\app\login                                            |          1 |          9 |          0 |          3 |         12 |
| src\app\provider                                         |          1 |          9 |          0 |          5 |         14 |
| src\app\register                                         |          1 |          9 |          0 |          2 |         11 |
| src\app\seekback                                         |          1 |          9 |          0 |          2 |         11 |
| src\components                                           |         34 |      3,659 |         23 |        202 |      3,884 |
| src\components\client                                    |         22 |      2,765 |         23 |         86 |      2,874 |
| src\components\client (Files)                            |         19 |      2,605 |         23 |         75 |      2,703 |
| src\components\client\FriendLink                         |          1 |         40 |          0 |          5 |         45 |
| src\components\client\Menu                               |          2 |        120 |          0 |          6 |        126 |
| src\components\motion                                    |          2 |        118 |          0 |         23 |        141 |
| src\components\ui                                        |         10 |        776 |          0 |         93 |        869 |
| src\config                                               |          1 |          9 |          0 |          1 |         10 |
| src\constants                                            |          1 |         17 |          0 |          5 |         22 |
| src\lib                                                  |          1 |          5 |          0 |          2 |          7 |
| src\utils                                                |          1 |         18 |          0 |          2 |         20 |
+----------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                 | language           | code       | comment    | blank      | total      |
+----------------------------------------------------------+--------------------+------------+------------+------------+------------+
| f:\毕设-快递系统\.eslintrc.json                                | JSON with Comments |          3 |          0 |          1 |          4 |
| f:\毕设-快递系统\README.md                                     | Markdown           |         23 |          0 |         14 |         37 |
| f:\毕设-快递系统\components.json                               | JSON               |         17 |          0 |          0 |         17 |
| f:\毕设-快递系统\next.config.mjs                               | JavaScript         |          2 |          1 |          2 |          5 |
| f:\毕设-快递系统\package-lock.json                             | JSON               |     13,893 |          0 |          1 |     13,894 |
| f:\毕设-快递系统\package.json                                  | JSON               |         61 |          0 |          1 |         62 |
| f:\毕设-快递系统\postcss.config.mjs                            | JavaScript         |          6 |          1 |          2 |          9 |
